spot_name,gallery_images,introduction,address,traffic_jam,parking_area,best_season,average_budget,best_num,crowd,facility,lat,lng,predicted_label_id,predicted_label
ポートタワー（神戸市）,"https://www.smartmagazine.jp/kansai/wp-content/uploads/2016/09/kobeporttower11.jpg",神戸市のランドマークタワーです。鼓型の美しい外観は、独特の構造、形状から「鉄塔の美女」とも称され高層建築物のモデルの一つとなっているほどです。神戸港のシンボルとして広く知られ、観光客が港町神戸を訪問する際に、その多くが立ち寄る拠点ともなっています。,650-0042 兵庫県神戸市中央区波止場町５−５,1時間,駐車場あり,春,3000円,何人でも,普通,屋内,34.682266,135.1868683,0,子連れ家族
明石海峡大橋,"https://www.feel-kobe.jp/app/wp-content/uploads/2022/10/%E6%98%8E%E7%9F%B3%E6%B5%B7%E5%B3%A1%E5%A4%A7%E6%A9%8B.jpg",淡路島を一望できる舞子公園がおすすめです。橋のスケールを体験したい人には有料ですが橋を登ることができます。近くにはアウトレットモール、マリンピア神戸もあるのでショッピングや食事も楽しむ事ができます。一日中遊べます。,655-0047 兵庫県神戸市垂水区東舞子町４,0.25時間,駐車場あり,通年,2000円,何人でも,少し空いている,屋外,34.6302848,135.0360367,0,子連れ家族
メタセコイヤ並木道,"https://travel.rakuten.co.jp/mytrip/sites/mytrip/files/styles/1cal_image/public/2023-05/shiga-takashima-guide-98712603.jpg?itok=tDfxf0tW",まっすぐな一本道の両端にメタセコイヤの木がズラッと並んでおり木々の間を走り抜くことができる場所です。木々の間から見える景色も住宅地ではないため、開放的であり春から夏は瑞々しい緑、秋には鮮やかな紅葉で季節によって彩りを変え、いつ行っても楽しませてくれます。,520-1835 滋賀県高島市マキノ町石庭,0.5時間,駐車場なし,夏,無料,何人でも,普通,屋外,35.4827557,136.0134234,1,恋人
美山 かやぶきの里・北村,"https://miyamanavi.com/files/topics/95_ext_24_5.jpg",美山かやぶきの里・北村は、京都府南丹市美山町北にある、現存する数多くの茅葺き屋根の家屋が特徴的な山村集落です。この地区は、伝統的な日本の農村風景を色濃く残しており、特に「北」集落では50戸のうち39棟がかやぶき屋根で覆われています。のどかな田園風景と歴史的な建築を楽しむことができる貴重な場所で、日常を離れた癒しを与えてくれます。また、かやぶきの里は京都府の重要伝統的建造物群保存地区に指定されており、その保存状態の良さから多くの観光客が訪れる人気スポットです。四季折々の自然美と共に、日本の伝統的な生活文化を感じることができます。,601-0712 京都府南丹市美山町北丁田,2時間,駐車場あり,秋,2000円,何人でも,少し混んでいる,屋外,35.312901,135.6238165,1,恋人
衝原湖,"https://kobe-rokko.jp/wp-content/uploads/2022/11/748e865d56db366b038a5f0c29e30413-5-scaled.jpg",神戸市北区にある自然に囲まれた絶景スポットです。休日には車や自転車、バイク乗りが多く集まります。とても広い無料駐車場で、トイレはありませんが自動販売機4台とベンチがあります。ここから少し走れば吞吐(どんど)ダムや「BE　KOBE」のモニュメントもあります。,651-1264 兵庫県神戸市北区山田町三津田,0.5時間,駐車場あり,秋,無料,何人でも,少し混んでいる,屋外,34.7211122,135.2334368,0,子連れ家族
谷瀬の吊り橋,"https://tabiiro.jp/lpimg/leisure/201581/main/img1.jpg",日本有数の長さを誇る鉄線の吊り橋です。 橋を渡っていると、ゆらゆらと揺れて恐怖が倍増！ 高いところが怖い方には渡り切るのは難しいかも知れません。 ただ、上から川を見下ろした景色は絶景です！ 吊り橋の下にはキャンプ場もあるので、家族でバーベキューやテントを張ってゆっくりとした時間を大自然の中で楽しめる場所となっています。,637-1106 奈良県吉野郡十津川村上野地６５−２,1時間,駐車場あり,通年,無料,何人でも,空いている,屋外,34.1006217,135.7628789,0,子連れ家族
青山高原,"https://tsukanko.jp/manage/wp-content/uploads/2023/12/DSC7817.jpg",青山高原は風力発電が何基も立ち並ぶCMに出てくるような絶景の中を走れる場所です。目的地はバイクの免許を取り立ての初心者ライダーでも行ける広くてきれいな道が続きます。道中には駐車場があり風力発電とバイクを撮れたりバイクを止めて展望台に行けます。展望台には飲食店があり高台で食べるソフトクリームは絶品です。,〒518-0203 三重県伊賀市勝地1852-63,1時間,駐車場あり,夏,無料,何人でも,普通,屋外,34.688611,136.275581,0,子連れ家族
シャーレ水ヶ浜,"https://shigatoco.com/photos/2024/04/9845463b5903c7eda072e86e884084b6-1.jpg",シャーレ水ヶ浜は琵琶湖のさざなみ街道の途中にある飲食店です。琵琶湖の湖畔に突き出したテラス席は景色がよりご飯がおいしく感じます。食事は軽食やデザートなどラインアップも豊富にあります。休日は混んでいることが多いため待たなければいけないこともあります。,523-0808 滋賀県近江八幡市長命寺町,1時間,駐車場あり,通年,1000円,何人でも,少し混んでいる,屋内,35.1624225,136.063084,1,恋人
下赤阪の棚田,"https://cdn.jalan.jp/jalan/img/2/kuchikomi/5172/KL/14583_0005172877_1.jpeg",大阪にある唯一の村「千早赤阪村」。その場所から見える棚田が「下赤坂の棚田」です。本当にここは大阪か！？と思うような田園風景が見渡せます。自然とバイクが一緒に撮れるおすすめのスポットです！ぜひ一度訪れてみてください！,585-0055 大阪府南河内郡千早赤阪村東阪２５,0.5時間,駐車場あり,春,無料,何人でも,空いている,屋外,34.4594832,135.6194971,0,子連れ家族
余呉湖,"https://kitabiwako.jp/wp_sys/wp-content/uploads/2019/01/ebef38d40d903794c9bc943437220607-1024x684.jpg",余呉湖は、おでかけ情報雑誌にもよく載っている絶景スポットです。鏡面度が高く、特に冬の風のない日は湖が空を映し出す鏡のようになります。湖の周りの道は狭いですが、バイクなら問題ありません。湖の付近から、バイクの写真を撮ると映えます。,529-0523 滋賀県長浜市余呉町川並,1時間,駐車場あり,通年,無料,何人でも,空いている,屋外,35.5297908,136.1878479,0,子連れ家族
